Review text,Cleaned_Review,Processed_Review,Ratings,Sentiment,Sentiment_Label
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",nice product good quality but price is now rising which is a bad sign was an affordable price especially when we play everyday so kindly help us out in terms of the price thank you,nice product good quality price rising bad sign affordable price especially play everyday kindly help u term price thank,4,Positive,1
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,they didnt supplied yonex mavis outside cover was yonex ad inside was a cheapest sad to hear this,didnt supplied yonex mavis outside cover yonex ad inside cheapest sad hear,1,Negative,0
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,worst product damaged shuttlecocks packed in new box its not a original yonex product dont buyflipkart platform is chosen to fraud the buyers,worst product damaged shuttlecock packed new box original yonex product dont buyflipkart platform chosen fraud buyer,1,Negative,0
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,over pricedjust from retaileri didnt understand wat is d advantage of buying dis frm flipkrt,pricedjust retaileri didnt understand wat advantage buying dis frm flipkrt,1,Negative,0
Good quality product. Delivered on time.READ MORE,good quality product delivered on time,good quality product delivered time,5,Positive,1
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,best purchase it is a good quality and is more durable than any average shuttle and shipping was good,best purchase good quality durable average shuttle shipping good,5,Positive,1
Good quality original shuttles.READ MORE,good quality original shuttles,good quality original shuttle,5,Positive,1
AwesomeREAD MORE,awesome,awesome,5,Positive,1
nice original productsREAD MORE,nice original products,nice original product,5,Positive,1
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,this green cap shuttlecock is really awesome quality is best and good packingthis green cap shuttlecock is played at warm conditionsworth for money simply loved it,green cap shuttlecock really awesome quality best good packingthis green cap shuttlecock played warm conditionsworth money simply loved,5,Positive,1
Best in class....READ MORE,best in class,best class,5,Positive,1
it's genuine and price is less than our near by shopREAD MORE,its genuine and price is less than our near by shop,genuine price less near shop,5,Positive,1
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",this is the second time i am getting an opened bundle of yonex mavis shuttle i really believe this is not an original product or someone may have switched the shuttle inside the bundle dont buy from flipkart i am gonna return this product,second time getting opened bundle yonex mavis shuttle really believe original product someone may switched shuttle inside bundle dont buy flipkart gon na return product,1,Negative,0
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,really satisfied with the quality and the prompt deliveryhappy customer of flipkart,really satisfied quality prompt deliveryhappy customer flipkart,5,Positive,1
NycREAD MORE,nyc,nyc,5,Positive,1
I usually buy them the same model but this did not last even for a dayREAD MORE,i usually buy them the same model but this did not last even for a day,usually buy model last even day,1,Negative,0
"Poor quality, not originalREAD MORE",poor quality not original,poor quality original,2,Negative,0
Delivered on expected timeREAD MORE,delivered on expected time,delivered expected time,5,Positive,1
Very nice and Good price compare then local sports.READ MORE,very nice and good price compare then local sports,nice good price compare local sport,5,Positive,1
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,its perfect go for it yonex will never disappoint you pros the feather might look little cheap at first glance but it aint like that the quality it best the bottom cork is so amazing we play in an open court and it perfectly glides around balanced base the durability seems to go fine no issues on that we intermediate players have been using one shuttle since days now cons slightly on a higher range if you use lbs bg or racquet then its p,perfect go yonex never disappoint pro feather might look little cheap first glance aint like quality best bottom cork amazing play open court perfectly glide around balanced base durability seems go fine issue intermediate player using one shuttle since day con slightly higher range use lb bg racquet p,5,Positive,1
superbREAD MORE,superb,superb,4,Positive,1
"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",looked like defective once without balance had to throw out of,looked like defective without balance throw,1,Negative,0
Genuine product at very reasonable price....got for Rs 630/-READ MORE,genuine product at very reasonable pricegot for rs,genuine product reasonable pricegot r,4,Positive,1
Good sealed Original Yonex ShuttlesREAD MORE,good sealed original yonex shuttles,good sealed original yonex shuttle,5,Positive,1
They are not as expected...the head  portion break very soon...defective pieces..READ MORE,they are not as expectedthe head portion break very soondefective pieces,expectedthe head portion break soondefective piece,2,Negative,0
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,i am giving star only for its price hike please anyone suggest any other shuttle cork for same performance with lower price,giving star price hike please anyone suggest shuttle cork performance lower price,4,Positive,1
quality is pooverREAD MORE,quality is poover,quality poover,5,Positive,1
good productREAD MORE,good product,good product,5,Positive,1
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,received in good conditionam really satisfied with the productbut i am not satisfied with those delivery boys who always does not have coins in returnit means that we are paying extra money for our item they also know this opportunity so they never have coins to returni really dont like this kind of selfishness,received good conditionam really satisfied productbut satisfied delivery boy always coin returnit mean paying extra money item also know opportunity never coin returni really dont like kind selfishness,4,Positive,1
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",after using found shuttles quality are not upto the level this box has not d quality sticker,using found shuttle quality upto level box quality sticker,2,Negative,0
Local productREAD MORE,local product,local product,1,Negative,0
Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,few of shuttle just separated from base in just a single shot very poor quality,shuttle separated base single shot poor quality,2,Negative,0
shuttle is over rotatingREAD MORE,shuttle is over rotating,shuttle rotating,2,Negative,0
Very bad quality.READ MORE,very bad quality,bad quality,1,Negative,0
Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,worst quality after or shots the ball started to rotate,worst quality shot ball started rotate,1,Negative,0
No one better shuttles in the market.good quality and reasonable price.READ MORE,no one better shuttles in the marketgood quality and reasonable price,one better shuttle marketgood quality reasonable price,5,Positive,1
low qualityREAD MORE,low quality,low quality,1,Negative,0
Superb quality... And best price.. Thanks to flipkart..!READ MORE,superb quality and best price thanks to flipkart,superb quality best price thanks flipkart,4,Positive,1
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,second quality shuttles dont buy it all are almost torn and shaped out worst experience go and buy in shop which costs around,second quality shuttle dont buy almost torn shaped worst experience go buy shop cost around,1,Negative,0
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,i dont think it is genuine cos i had it checked on the official website of yonex with the hologram number yet product is not bad and it does the job well i will definitely be comparing this one with an original one from a shop near by and let others know the difference if any,dont think genuine co checked official website yonex hologram number yet product bad job well definitely comparing one original one shop near let others know difference,4,Positive,1
Very bad quality this timeREAD MORE,very bad quality this time,bad quality time,1,Negative,0
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",ive received duplicate n cheapest balls kept inside a broken box which it was done deleberately worst experience ive ever had with flipkart can buy anything except badminton yonex mavis,ive received duplicate n cheapest ball kept inside broken box done deleberately worst experience ive ever flipkart buy anything except badminton yonex mavis,1,Negative,0
